#Version: 0.1
#Glossary type: Fossil
#Source: treatise_gloss (merged from: treatise_o, treati)
#Finalized by: Dr. Hong Cui
#Date: 9/12/2013
#Reviewers: treatise  ,Dr. Hong Cui,Mohan Krishna Gowda,Fengqiong Huang,Sonali Ranade
#Source producer: OTO System

term,category,hasSyn,sourceDataset,termID
ridgelike,shape,0,treatise_gloss,38fbc408-1bb8-11e3-a402-0026b9326338
trilobate,shape,0,treatise_gloss,38fbc4d0-1bb8-11e3-a402-0026b9326338
deuterolobate,shape,0,treatise_gloss,38fbc5a2-1bb8-11e3-a402-0026b9326338
axiolobate,shape,0,treatise_gloss,38fbc674-1bb8-11e3-a402-0026b9326338
cephalothoracic,structure,0,treatise_gloss,38fbc73c-1bb8-11e3-a402-0026b9326338
circumocular,structure,0,treatise_gloss,38fbc80e-1bb8-11e3-a402-0026b9326338
ocular,structure,0,treatise_gloss,38fbc8e0-1bb8-11e3-a402-0026b9326338
extraocular,structure,0,treatise_gloss,38fbc9a8-1bb8-11e3-a402-0026b9326338
spinulelike,shape,0,treatise_gloss,38fbca7a-1bb8-11e3-a402-0026b9326338
pitlike,shape,0,treatise_gloss,38fbcb42-1bb8-11e3-a402-0026b9326338
flasklike,shape,0,treatise_gloss,38fbcc0a-1bb8-11e3-a402-0026b9326338
expanded,size,0,treatise_gloss,38fbccdc-1bb8-11e3-a402-0026b9326338
unfurrowed,structure,0,treatise_gloss,38fbcdae-1bb8-11e3-a402-0026b9326338
furrowed,structure,0,treatise_gloss,38fbce76-1bb8-11e3-a402-0026b9326338
slitlike,shape,0,treatise_gloss,38fbcf3e-1bb8-11e3-a402-0026b9326338
subpyriform,shape,0,treatise_gloss,38fbd010-1bb8-11e3-a402-0026b9326338
thornlike,shape,0,treatise_gloss,38fbd0d8-1bb8-11e3-a402-0026b9326338
papilionate,shape,0,treatise_gloss,38fbd1aa-1bb8-11e3-a402-0026b9326338
fulcral,position,0,treatise_gloss,38fbd27c-1bb8-11e3-a402-0026b9326338
intranotular,position,0,treatise_gloss,38fbd344-1bb8-11e3-a402-0026b9326338
notular,position,0,treatise_gloss,38fbd416-1bb8-11e3-a402-0026b9326338
incipient,prominence,0,treatise_gloss,38fbd4e8-1bb8-11e3-a402-0026b9326338
librigenal,position,0,treatise_gloss,38fbd5b0-1bb8-11e3-a402-0026b9326338
preglabellar,position,0,treatise_gloss,38fbd682-1bb8-11e3-a402-0026b9326338
glabellar,position,0,treatise_gloss,38fbd74a-1bb8-11e3-a402-0026b9326338
procranidial,position,0,treatise_gloss,38fbd81c-1bb8-11e3-a402-0026b9326338
pygidial,position,0,treatise_gloss,38fbd8e4-1bb8-11e3-a402-0026b9326338
no,occurrence,0,treatise_gloss,38fbda7e-1bb8-11e3-a402-0026b9326338
weak,prominence,0,treatise_gloss,38fbdb46-1bb8-11e3-a402-0026b9326338
effaced,prominence,0,treatise_gloss,38fbdc18-1bb8-11e3-a402-0026b9326338
sided,structure,0,treatise_gloss,38fbdcea-1bb8-11e3-a402-0026b9326338
zonate,structure,0,treatise_gloss,38fbddb2-1bb8-11e3-a402-0026b9326338
interpleural,position,0,treatise_gloss,38fbde7a-1bb8-11e3-a402-0026b9326338
proparian,position,0,treatise_gloss,38fbdf4c-1bb8-11e3-a402-0026b9326338
caecal,position,0,treatise_gloss,38fbe014-1bb8-11e3-a402-0026b9326338
biramous,shape,0,treatise_gloss,38fbe0e6-1bb8-11e3-a402-0026b9326338
size,character,0,treatise_gloss,38fbe1b8-1bb8-11e3-a402-0026b9326338
depressed,shape,0,treatise_gloss,38fbe280-1bb8-11e3-a402-0026b9326338
impressed,shape,0,treatise_gloss,38fbe348-1bb8-11e3-a402-0026b9326338
