#Version: 0.11
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 6/13/2014
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID","remarks"
"anchoring","fixation","0","fna_gloss_final_20130517","83d04953-7442-41a1-9e4b-17018956b052","active"
"androdioecious","reproduction","0","fna_gloss_final_20130517","37d8c0e3-5c87-4be0-8e13-51f84172965e","active"
"androecia","structure","0","fna_gloss_final_20130517","522936d3-a948-44f3-b9dc-634e0d190f6f","active"
"androecial tube","structure","0","fna_gloss_final_20130517","0f5bd989-6a96-4305-985d-97ff6f2f49a8","active"
"androecium","structure","0","fna_gloss_final_20130517","1b89bc5b-5ac4-4924-aff5-433d2d0df396","active"
"androgynecandrous","reproduction","0","fna_gloss_final_20130517","15c90141-c102-4da5-afbd-eb69be03d2eb","active"
"androgynophore","structure","0","fna_gloss_final_20130517","eab7c575-d3a9-499d-9c4c-34a747be1a82","active"
"androgynous","reproduction","0","fna_gloss_final_20130517","6eb007da-89b5-4067-a7b6-57242bbdfa8e","active"
"andromonoecious","reproduction","0","fna_gloss_final_20130517","145b5e99-6fe7-42fa-b14c-99fdf2d5c7a3","active"
"andropetalous","architecture","0","fna_gloss_final_20130517","8a76f616-c367-41b3-9b6f-55c960849100","active"
"androphore","structure","0","fna_gloss_final_20130517","6d21ad9e-77d0-426c-9667-c8e54c6467d3","active"
"androus","architecture","0","fna_gloss_final_20130517","a1ebc902-efdc-11e2-b45f-0026b9326338","active"
"anemophilous","reproduction","0","fna_gloss_final_20130517","57579bf4-7e48-4fb4-99dc-3d975e965752","active"
"angled","shape","0","fna_gloss_final_20130517","a2370508-2458-4df4-8c18-72e4b213fab1","active"
"angular","arrangement","0","fna_gloss_final_20130517","a488a571-8ed1-4ee5-bf16-0df5a10fcd97","active"
"angular","shape","0","fna_gloss_final_20130517","a2ecf5f6-efdc-11e2-b45f-0026b9326338","active"
"angulate","shape","0","fna_gloss_final_20130517","a1fb2686-efdc-11e2-b45f-0026b9326338","active"
"anisocytic","architecture","0","fna_gloss_final_20130517","f28df908-0dfc-4806-9f8d-0b32996f38c7","active"
"anisopetalous","architecture","0","fna_gloss_final_20130517","1aed913e-3ee8-4579-a53e-427089afb451","active"
"anisophyllous","architecture","0","fna_gloss_final_20130517","0c542f3c-8046-4a78-a08a-d4f908b1dd3c","active"
"anisosepalous","architecture","0","fna_gloss_final_20130517","52089ccc-1db7-4ea3-98ca-8b426f154d47","active"
"anisostemonous","architecture","0","fna_gloss_final_20130517","4c329bb2-2a0f-4ebf-90f2-7c9fdd672afe","active"
"annual","duration","0","fna_gloss_final_20130517","c522f8f3-7d70-4828-868d-609cb09799eb","active"
"annual","duration","0","fna_gloss_final_20130517","34000ec5-e71e-4eee-8382-c64521d75a15","active"
"annuals","structure","0","fna_gloss_final_20130517","a2b39f54-efdc-11e2-b45f-0026b9326338","active"
"annular","shape","0","fna_gloss_final_20130517","83b96b92-78b6-488e-b62b-d396c3b5222d","active"
"annulate","architecture","0","fna_gloss_final_20130517","a1fba8d6-efdc-11e2-b45f-0026b9326338","active"
"annuli","structure","0","fna_gloss_final_20130517","1a843329-df37-4234-8174-fcc6bf89bcad","active"
"annulus","structure","0","fna_gloss_final_20130517","c8137f4c-b747-4817-94a9-973aa39d4faf","active"
"anomocytic","architecture","0","fna_gloss_final_20130517","27d8c96e-f3bd-4b99-aff4-438d7503d63f","active"
"anthela","structure","0","fna_gloss_final_20130517","72057d27-76d8-4729-82bb-785757a01d96","active"
"anthelae","structure","0","fna_gloss_final_20130517","f22442e8-3d37-47e4-b1bc-64aeb8b0f9f7","active"
"anthelate","architecture","0","fna_gloss_final_20130517","a860f30b-8210-4993-9183-a3ec65abe67d","active"
"anther","structure","0","fna_gloss_final_20130517","ce9ed37f-2132-4193-b5d3-8f569322e89e","active"
"anther_bearing","architecture","0","fna_gloss_final_20130517","337ded97-bc00-4a56-afb2-df67d986ca9f","active"
"antheridia","structure","0","fna_gloss_final_20130517","40b5fa5d-a75b-49d8-8328-b4c28d54ea66","active"
"antheridium","structure","0","fna_gloss_final_20130517","7b3cbb19-26e9-4ad2-8afc-36682e1d2dd8","active"
"antheriferous","architecture","0","fna_gloss_final_20130517","9c75cd6b-93c3-4710-b176-c77ece69c8e7","active"
"antherozoid","structure","0","fna_gloss_final_20130517","6ba61665-8856-4dfa-b850-f40a963f6c01","active"
"anthocarp","structure","0","fna_gloss_final_20130517","93db5e86-9dd3-43b5-9389-3f8a3308ce15","active"
"anticlinal","orientation","0","fna_gloss_final_20130517","974ea7f7-67e3-4d2e-bde3-893af1af20ba","active"
"antipetalous","position","0","fna_gloss_final_20130517","f40e8648-e09b-4d60-865a-2a54475cee89","active"
"antisepalous","position","0","fna_gloss_final_20130517","8c70b62c-527f-4ad7-af89-1136cd7d3d20","active"
"antrorse","orientation","0","fna_gloss_final_20130517","ef05f086-926a-4e04-b311-7d1ae473cce7","active"
"apart","arrangement","0","fna_gloss_final_20130517","a1fc312a-efdc-11e2-b45f-0026b9326338","active"
"apetalous","architecture","0","fna_gloss_final_20130517","eae1e5e0-7c5d-4888-91b0-430d4a58e547","active"
"apex","structure","0","fna_gloss_final_20130517","262a8ea5-946e-43f0-999f-352d75f9c636","active"
"aphyllous","architecture","0","fna_gloss_final_20130517","417ab169-b0ab-4744-96a6-141edb729e2f","active"
"apical","position","0","fna_gloss_final_20130517","81d228b3-8b57-4801-9d71-7685649fad41","active"
"apices","structure","0","fna_gloss_final_20130517","c971f37c-1b6f-48d5-9320-d3e1d7a0e0c4","active"
"apicula","structure","0","fna_gloss_final_20130517","f2730b6c-a8f9-4167-9ced-17686db4d013","active"
"apiculate","shape","0","fna_gloss_final_20130517","b54a28d4-62dc-4291-ac5b-719fec8092db","active"
"apiculum","structure","0","fna_gloss_final_20130517","eefdd769-bc9f-4f06-88cd-54dc90fc15fb","active"
"apocarpous","architecture","0","fna_gloss_final_20130517","8e35e96f-24d5-4b35-af20-c439618df76d","active"
"apogamous","reproduction","0","fna_gloss_final_20130517","274da8eb-607a-4403-853f-74c36ad90a9c","active"
"apolar","architecture","0","fna_gloss_final_20130517","6e64ae89-6bd3-423d-b052-9d09bbd5273f","active"
