#Version: 0.1
#Glossary type: Hymenoptera
#Source: ant_gloss_20130517080844
#Finalized by: Hong Cui
#Date: 9/20/2013
#Reviewers: Hong Cui,Sonali Ranade
#Source producer: OTO System

term,category,synonym,termID
distal,position,distalmost,149b49f4-21de-11e3-a402-0026b9326338
distinct,prominence,distinctive,149b4ab2-21de-11e3-a402-0026b9326338
dome_like,shape,domelike,149b4c38-21de-11e3-a402-0026b9326338
dome_like,shape,domed,149b4c38-21de-11e3-a402-0026b9326338
dome_like,shape,dome_shaped,149b4c38-21de-11e3-a402-0026b9326338
dorsal_caudal,position,dorsocaudal,149b4e90-21de-11e3-a402-0026b9326338
dorso_lateral,position,dorsolateral,149b4f4e-21de-11e3-a402-0026b9326338
dot,structure,dots,149b5016-21de-11e3-a402-0026b9326338
ellipsoid,shape,elliptic,149b50d4-21de-11e3-a402-0026b9326338
ellipsoid,shape,elliptical,149b50d4-21de-11e3-a402-0026b9326338
elongate,shape,elongated,149b51a6-21de-11e3-a402-0026b9326338
encircle,direction,encircling,149b5264-21de-11e3-a402-0026b9326338
enclose,presence,enclosed,149b5322-21de-11e3-a402-0026b9326338
enclose,presence,enclosing,149b5322-21de-11e3-a402-0026b9326338
excavate,architecture,excavated,149b54b2-21de-11e3-a402-0026b9326338
excised,architecture,excision,149b557a-21de-11e3-a402-0026b9326338
expanded,size,expanding,149b5642-21de-11e3-a402-0026b9326338
expanded,size,expands,149b5642-21de-11e3-a402-0026b9326338
exterior,position,external,149b57c8-21de-11e3-a402-0026b9326338
eye,structure,eyes,149b5886-21de-11e3-a402-0026b9326338
face,structure,faces,149b594e-21de-11e3-a402-0026b9326338
fan_like,shape,fan_shaped,149b5b9c-21de-11e3-a402-0026b9326338
femur,structure,femora,149b5c5a-21de-11e3-a402-0026b9326338
femur,structure,femoral,149b5c5a-21de-11e3-a402-0026b9326338
ferruginous,coloration,ferrugineous,149b5d22-21de-11e3-a402-0026b9326338
fine,size,finer,149b5ea8-21de-11e3-a402-0026b9326338
finlet,structure,finlets,149b5f66-21de-11e3-a402-0026b9326338
flagellar,structure,flagellate,149b602e-21de-11e3-a402-0026b9326338
flanked,position,flanking,149b60f6-21de-11e3-a402-0026b9326338
flat,shape,flattish,149b61b4-21de-11e3-a402-0026b9326338
flat,shape,flatter,149b61b4-21de-11e3-a402-0026b9326338
flat,shape,flattening,149b61b4-21de-11e3-a402-0026b9326338
flat,shape,flattened,149b61b4-21de-11e3-a402-0026b9326338
flat,shape,flatlying,149b61b4-21de-11e3-a402-0026b9326338
flat,shape,flat_lying,149b61b4-21de-11e3-a402-0026b9326338
forecoxa,structure,forecoxae,149b627c-21de-11e3-a402-0026b9326338
forward,direction,forwards,149b6344-21de-11e3-a402-0026b9326338
four,count,fours,149b6402-21de-11e3-a402-0026b9326338
fovea,structure,foveae,149b64c0-21de-11e3-a402-0026b9326338
fringed,shape,fringing,149b6588-21de-11e3-a402-0026b9326338
front,position,frontal,149b6650-21de-11e3-a402-0026b9326338
front,position,fronting,149b6650-21de-11e3-a402-0026b9326338
funiculi,structure,funiculus,149b670e-21de-11e3-a402-0026b9326338
furrow,structure,furrows,149b689e-21de-11e3-a402-0026b9326338
fusco_hyaline,coloration,fuscohyaline,149b695c-21de-11e3-a402-0026b9326338
fuscous,coloration,fusco,149b6a24-21de-11e3-a402-0026b9326338
geniculate,shape,geniculated,149b6baa-21de-11e3-a402-0026b9326338
gibbous,shape,gibbosity,149b6c72-21de-11e3-a402-0026b9326338
gill,structure,gills,149b6d3a-21de-11e3-a402-0026b9326338
glassy,surface_sculpture,glassy_smooth,149b6df8-21de-11e3-a402-0026b9326338
glistening,reflectance,glittering,149b6ec0-21de-11e3-a402-0026b9326338
globate,shape,globose,149b6f88-21de-11e3-a402-0026b9326338
globate,shape,globular,149b6f88-21de-11e3-a402-0026b9326338
gloss,surface_sculpture,glossy,149b7046-21de-11e3-a402-0026b9326338
golden,coloration,golden_coloured,149b710e-21de-11e3-a402-0026b9326338
golden,coloration,golden_yellow,149b710e-21de-11e3-a402-0026b9326338
granular,surface_sculpture,granulate,149b71d6-21de-11e3-a402-0026b9326338
granular,surface_sculpture,granulated,149b71d6-21de-11e3-a402-0026b9326338
granular,surface_sculpture,granulose,149b71d6-21de-11e3-a402-0026b9326338
granular,surface_sculpture,granulous,149b71d6-21de-11e3-a402-0026b9326338
granulate_punctate,surface_sculpture,granulopunctate,149b729e-21de-11e3-a402-0026b9326338
greater,size,greatest,149b735c-21de-11e3-a402-0026b9326338
green,coloration,greenish,149b7424-21de-11e3-a402-0026b9326338
grey,coloration,gray,149b74ec-21de-11e3-a402-0026b9326338
grey,coloration,greyish,149b74ec-21de-11e3-a402-0026b9326338
groove,structure,grooves,149b75aa-21de-11e3-a402-0026b9326338
hair,structure,hairs,149b7672-21de-11e3-a402-0026b9326338
heart_shaped,shape,heartshaped,149b773a-21de-11e3-a402-0026b9326338
heavy,weight,heavier,149b77f8-21de-11e3-a402-0026b9326338
hemispheric,shape,hemispherical,149b78c0-21de-11e3-a402-0026b9326338
high,height,higher,149b7988-21de-11e3-a402-0026b9326338
high,height,highest,149b7988-21de-11e3-a402-0026b9326338
hind,position,hindward,149b7a46-21de-11e3-a402-0026b9326338
hind,position,hinder,149b7a46-21de-11e3-a402-0026b9326338
hollow,architecture,hollowed,149b7b18-21de-11e3-a402-0026b9326338
hook_like,shape,hook_shaped,149b7bd6-21de-11e3-a402-0026b9326338
hook_like,shape,hooklike,149b7bd6-21de-11e3-a402-0026b9326338
horn_shaped,shape,hornlike,149b7c9e-21de-11e3-a402-0026b9326338
hue,coloration,hues,149b7d66-21de-11e3-a402-0026b9326338
ill_defined,presence,illdefined,149b7e24-21de-11e3-a402-0026b9326338
incrassate,thickness,incrassated,149b807c-21de-11e3-a402-0026b9326338
infuscate,coloration,infuscated,149b81f8-21de-11e3-a402-0026b9326338
infuscate,coloration,infuscation,149b81f8-21de-11e3-a402-0026b9326338
inner,position,innermost,149b82ca-21de-11e3-a402-0026b9326338
insertion,structure,insertions,149b8388-21de-11e3-a402-0026b9326338
inter_dorsal,position,interdorsal,149b850e-21de-11e3-a402-0026b9326338
intercarinal,arrangement,intercarinular,149b85d6-21de-11e3-a402-0026b9326338
interior,position,internal,149b869e-21de-11e3-a402-0026b9326338
intermingled,arrangement,intermixed,149b8766-21de-11e3-a402-0026b9326338
interspace,structure,interspaces,149b8824-21de-11e3-a402-0026b9326338
inverse,direction,inverted,149b88ec-21de-11e3-a402-0026b9326338
isolate,arrangement,isolated,149b89b4-21de-11e3-a402-0026b9326338
jaw,structure,jaws,149b8a72-21de-11e3-a402-0026b9326338
joined,fusion,jointed,149b8b3a-21de-11e3-a402-0026b9326338
joined,fusion,joining,149b8b3a-21de-11e3-a402-0026b9326338
joint,structure,joints,149b8c02-21de-11e3-a402-0026b9326338
keel,structure,keels,149b8cc0-21de-11e3-a402-0026b9326338
lack,density,lacking,149b8d88-21de-11e3-a402-0026b9326338
lack,density,lacked,149b8d88-21de-11e3-a402-0026b9326338
lamellate,shape,lamelliform,149b8e50-21de-11e3-a402-0026b9326338
lamellate,shape,lamelliforns,149b8e50-21de-11e3-a402-0026b9326338
large,size,largest,149b8f0e-21de-11e3-a402-0026b9326338
large,size,larger,149b8f0e-21de-11e3-a402-0026b9326338
large,size,large_sized,149b8f0e-21de-11e3-a402-0026b9326338
latero_dorsal,position,laterodorsal,149b8fd6-21de-11e3-a402-0026b9326338
lean,shape,leaning,149b9094-21de-11e3-a402-0026b9326338
