#Version: 0.1
#Glossary type: Algea
#Source: diatom_test_2012_12_19
#Finalized by: Dr. Hong Cui
#Date: 
#Reviewers: treatise  ,Dr. Hong Cui,Sonali Ranade,Anna Yu
#Source producer: Anna Yu

"term","category","hasSyn","sourceDataset","termID"
"regular","variability","0","diatom_test_2012_12_19","ca53f5d2-11be-11e3-b45f-0026b9326338"
"varied","variability","0","diatom_test_2012_12_19","ca53f668-11be-11e3-b45f-0026b9326338"
"various","variability","0","diatom_test_2012_12_19","ca53f6f4-11be-11e3-b45f-0026b9326338"
"varying","variability","0","diatom_test_2012_12_19","ca53f780-11be-11e3-b45f-0026b9326338"
"similar","variability","0","diatom_test_2012_12_19","ca53f80c-11be-11e3-b45f-0026b9326338"
"great","count","0","diatom_test_2012_12_19","ca59efd2-11be-11e3-b45f-0026b9326338"
"higher","position","0","diatom_test_2012_12_19","ca59f0b8-11be-11e3-b45f-0026b9326338"
"far","position","0","diatom_test_2012_12_19","ca59f180-11be-11e3-b45f-0026b9326338"
"fiat","shape","0","diatom_test_2012_12_19","ca59f248-11be-11e3-b45f-0026b9326338"
"complex","architecture","0","diatom_test_2012_12_19","ca59f31a-11be-11e3-b45f-0026b9326338"
"alveolate","architecture","0","diatom_test_2012_12_19","ca59f3e2-11be-11e3-b45f-0026b9326338"
"full","size","0","diatom_test_2012_12_19","ca59f4aa-11be-11e3-b45f-0026b9326338"
"non_areolate","architecture","0","diatom_test_2012_12_19","ca59f572-11be-11e3-b45f-0026b9326338"
"dense","density","0","diatom_test_2012_12_19","ca59f63a-11be-11e3-b45f-0026b9326338"
"denser","density","0","diatom_test_2012_12_19","ca59f702-11be-11e3-b45f-0026b9326338"
"quincunx","pattern","0","diatom_test_2012_12_19","ca59f7ca-11be-11e3-b45f-0026b9326338"
"finer","size","0","diatom_test_2012_12_19","ca59f892-11be-11e3-b45f-0026b9326338"
"ligula_like","shape","0","diatom_test_2012_12_19","ca59f950-11be-11e3-b45f-0026b9326338"
"ligulate","shape","0","diatom_test_2012_12_19","ca59fa22-11be-11e3-b45f-0026b9326338"
"non_ligulate","shape","0","diatom_test_2012_12_19","ca59fafe-11be-11e3-b45f-0026b9326338"
"straighter","course","0","diatom_test_2012_12_19","ca59fbd0-11be-11e3-b45f-0026b9326338"
"rises","height","0","diatom_test_2012_12_19","ca59fca2-11be-11e3-b45f-0026b9326338"
"shorter","length","0","diatom_test_2012_12_19","ca59fd74-11be-11e3-b45f-0026b9326338"
"isolated","arrangement","0","diatom_test_2012_12_19","ca59fe46-11be-11e3-b45f-0026b9326338"
"largest","size","0","diatom_test_2012_12_19","ca59ff0e-11be-11e3-b45f-0026b9326338"
"non_porous","external texture","0","diatom_test_2012_12_19","ca59ffd6-11be-11e3-b45f-0026b9326338"
"strong","fragility","0","diatom_test_2012_12_19","ca5a009e-11be-11e3-b45f-0026b9326338"
"bordered","architecture","0","diatom_test_2012_12_19","ca5a015c-11be-11e3-b45f-0026b9326338"
"linear","course","0","diatom_test_2012_12_19","ca5a02ec-11be-11e3-b45f-0026b9326338"
"developed","development","0","diatom_test_2012_12_19","ca5a03aa-11be-11e3-b45f-0026b9326338"
"recessed","fixation","0","diatom_test_2012_12_19","ca5a047c-11be-11e3-b45f-0026b9326338"
"semicircular","shape","0","diatom_test_2012_12_19","ca5a053a-11be-11e3-b45f-0026b9326338"
"solitary","architecture","0","diatom_test_2012_12_19","ca5a0602-11be-11e3-b45f-0026b9326338"
"observed","prominence","0","diatom_test_2012_12_19","ca5a06ca-11be-11e3-b45f-0026b9326338"
"branched","architecture","0","diatom_test_2012_12_19","ca5a0792-11be-11e3-b45f-0026b9326338"
"fasciculate","architecture","0","diatom_test_2012_12_19","ca5a0850-11be-11e3-b45f-0026b9326338"
"alternating","arrangement","0","diatom_test_2012_12_19","ca5a0918-11be-11e3-b45f-0026b9326338"
"bifurcate","shape","0","diatom_test_2012_12_19","ca5a09e0-11be-11e3-b45f-0026b9326338"
"multiseriate","arrangement","0","diatom_test_2012_12_19","ca5a0a9e-11be-11e3-b45f-0026b9326338"
"uniseriate","arrangement","0","diatom_test_2012_12_19","ca5a0b66-11be-11e3-b45f-0026b9326338"
"three_seriate","arrangement","0","diatom_test_2012_12_19","ca5a0c2e-11be-11e3-b45f-0026b9326338"
"interfacicle","position","0","diatom_test_2012_12_19","ca5a0cec-11be-11e3-b45f-0026b9326338"
"blister_shaped","shape","0","diatom_test_2012_12_19","ca5a0dbe-11be-11e3-b45f-0026b9326338"
"disc_shaped","shape","0","diatom_test_2012_12_19","ca5a0e7c-11be-11e3-b45f-0026b9326338"
"discoid","shape","0","diatom_test_2012_12_19","ca5a0f3a-11be-11e3-b45f-0026b9326338"
"shallow","depth","0","diatom_test_2012_12_19","ca5a10ca-11be-11e3-b45f-0026b9326338"
"shallower","depth","0","diatom_test_2012_12_19","ca5a1188-11be-11e3-b45f-0026b9326338"
"enlongated","length","0","diatom_test_2012_12_19","ca5a1250-11be-11e3-b45f-0026b9326338"
"longer","length","0","diatom_test_2012_12_19","ca5a130e-11be-11e3-b45f-0026b9326338"
"united","architecture","0","diatom_test_2012_12_19","ca5a13d6-11be-11e3-b45f-0026b9326338"
"simple","architecture","0","diatom_test_2012_12_19","ca5a149e-11be-11e3-b45f-0026b9326338"
"smoother","external texture","0","diatom_test_2012_12_19","ca5a1566-11be-11e3-b45f-0026b9326338"
"porous","external texture","0","diatom_test_2012_12_19","ca5a1624-11be-11e3-b45f-0026b9326338"
"vestibule","architecture","0","diatom_test_2012_12_19","ca5a16ec-11be-11e3-b45f-0026b9326338"
